index,bbl,building_name,address,current_bin,is_public_space,recommended_action,real_bin,notes
23,1012697502.0,45 West 53rd Street,45 West 53rd Street,1000000.0,False,RESEARCH,,
320,1003720064.0,1 Dekalb Avenue,1 Dekalb Avenue,1000000.0,False,RESEARCH,,
367,1000020001.0,Whitehall Ferry Terminal,11 South Street,MISSING,False,RESEARCH,,
506,1003720064.0,26 Central Avenue,26 Central Avenue,1000000.0,False,RESEARCH,,
513,1003720064.0,22-44 Jackson Avenue,22-44 Jackson Avenue,1000000.0,False,RESEARCH,,
598,3001400111.0,1 Boerum Place,1 Boerum Place,MISSING,False,RESEARCH,,
613,1006160054.0,One Jackson Square,One Jackson Square,1000000.0,True,MARK_N/A,,
708,3002470016.0,21 India Street,21 India Street,MISSING,False,RESEARCH,,
714,3023220028.0,34 North 7th Street,34 North 7th Street,MISSING,False,RESEARCH,,
777,1007120042.0,111 North 12th Street,111 North 12th Street,MISSING,False,RESEARCH,,
787,3129800001.0,29-59 Northern Boulevard,29-59 Northern Boulevard,MISSING,False,RESEARCH,,
806,5079660001.0,Pier 55,Pier 55,MISSING,True,MARK_N/A,,
836,3018640014.0,130 Felix Street,130 Felix Street,MISSING,False,RESEARCH,,
870,3019180065.0,Flushing Meadows Corona Park,Flushing Meadows Corona Park,MISSING,True,MARK_N/A,,
873,1006190033.0,Gansevoort & Washington Streets,Gansevoort & Washington Streets,MISSING,False,RESEARCH,,
908,1003720064.0,101 Lincoln Avenue,101 Lincoln Avenue,1000000.0,False,RESEARCH,,
918,3018640014.0,168 Plymouth Street,168 Plymouth Street,MISSING,False,RESEARCH,,
935,3011360029.0,620 Atlantic Avenue,620 Atlantic Avenue,MISSING,False,RESEARCH,,
950,1008190027.0,425 West 17th Street,425 West 17th Street,MISSING,False,RESEARCH,,
956,1002410010.0,260 South Street,260 South Street,1000000.0,False,RESEARCH,,
965,1006620016.0,196 and 200 Eleventh Avenue,196 and 200 Eleventh Avenue,MISSING,False,RESEARCH,,
976,1004260029.0,10 Chrystie Street,10 Chrystie Street,MISSING,False,RESEARCH,,
1010,4142600001.0,1 Idlewild Drive,1 Idlewild Drive,MISSING,False,RESEARCH,,
1017,4020180001.0,Unisphere,Flushing Meadows-Corona Park,4000000.0,True,MARK_N/A,,
1056,3018640014.0,3300 Fillmore Avenue,3300 Fillmore Avenue,MISSING,False,RESEARCH,,
1082,1007590014.0,345 Meatpacking,345 Meatpacking,MISSING,False,RESEARCH,,
1088,3001120100.0,280 Cadman Plaza West,280 Cadman Plaza West,MISSING,True,MARK_N/A,,
1125,1003720064.0,43-25 Hunter Street,43-25 Hunter Street,1000000.0,False,RESEARCH,,
1261,5079660001.0,1 Prospect Park West,1 Prospect Park West,MISSING,True,MARK_N/A,,
1298,1005190044.0,22 North 6th Street,22 North 6th Street,MISSING,False,RESEARCH,,
1337,5000060021.0,Richmond County Courthouse,12-24 Richmond Terrace,MISSING,False,RESEARCH,,
1442,3021070030.0,262 Ashland Place,262 Ashland Place,MISSING,False,RESEARCH,,
1459,2056500001.0,0,Pelham Bay Park,2000000.0,True,MARK_N/A,,
1627,2039230036.0,50 East 149th Street,50 East 149th Street,MISSING,False,RESEARCH,,
1842,1003720064.0,Bethesda Terrace,Central Park,1000000.0,True,MARK_N/A,,
2083,4000210120.0,Pepsi-Cola Sign,4-09 47th Road,4000000.0,False,RESEARCH,,
2094,3031520001.0,54 Noll Street,54 Noll Street,MISSING,False,RESEARCH,,
2147,3024147501.0,1 South 1st Street,1 South 1st Street,MISSING,False,RESEARCH,,
2413,2032220062.0,"Hall of Fame, New York University",Hall of Fame Terrace at Sedgwick Avenue,2000000.0,False,RESEARCH,,
2539,3001570001.0,11 Hoyt Street,11 Hoyt Street,MISSING,False,RESEARCH,,
2545,3001457502.0,100 Willoughby Street,100 Willoughby Street,MISSING,False,RESEARCH,,
2721,3018640014.0,141 Willoughby Street,141 Willoughby Street,MISSING,False,RESEARCH,,
2722,5030680001.0,Battery Weed,Fort Wadsworth Reservation,5000000.0,False,RESEARCH,,
2741,3018640014.0,138 Willoughby Street,138 Willoughby Street,MISSING,False,RESEARCH,,
2924,3011830026.0,0,200 Eastern Parkway at Washington Avenue,3000000.0,True,MARK_N/A,,
2936,3018640014.0,336 Flatbush Avenue Extension,336 Flatbush Avenue Extension,MISSING,False,RESEARCH,,
4823,5000760200.0,0,Extending along Richmond Terrace and Snug Harbor Road between Tysen Street and Kissel Avenue,5000000.0,False,RESEARCH,,
4995,1001010002.0,0,147 Nassau Street,1000000.0,False,RESEARCH,,
5356,3009030190.0,0,843 Fifth Avenue,MISSING,False,RESEARCH,,
5619,5019550001.0,Men's Dormitory (Dormitory 1 & 2),New York City Farm Colony,5000000.0,False,RESEARCH,,
6571,1000770024.0,0,33-43 Gold Street,1000000.0,False,RESEARCH,,
7670,1003310065.0,0,Former intersection of Broome and Sheriff Streets,1000000.0,False,RESEARCH,,
7964,1008820039.0,0,153 East 26th Street,1000000.0,False,RESEARCH,,
8286,2058324350.0,0,443 West 250th Street,2000000.0,False,RESEARCH,,
8792,2031200020.0,"Paul J. Rainey Memorial Gates, New York Zoological Park","New York Zoological Park, park entrance at East Fordham Road",2000000.0,True,MARK_N/A,,
9169,3021140021.0,0,676 Fulton Street,3000000.0,False,RESEARCH,,
9369,4000000000.0,0,South side of 53rd Avenue step between 64 and 65 Place,4000000.0,False,RESEARCH,,
10011,2000000000.0,0,Broadway Between 230th Street and Kimberly Place,2000000.0,False,RESEARCH,,
10431,2032720001.0,0,2600 Dr. Kazmiroff Boulevard,2000000.0,False,RESEARCH,,
11661,1021360300.0,0,Fort Washington Playground,1000000.0,True,MARK_N/A,,
11955,1020370023.0,0,Colonel Charles Young Triangle at West 153rd Street and Macomb's Place,1000000.0,False,RESEARCH,,
12155,1021490525.0,0,High Bridge Park at West 187th Street and Laurel Hill,1000000.0,True,MARK_N/A,,
13155,3064180001.0,0,Park Drive (east of 7th Avenue opposite 88th Street),3000000.0,True,MARK_N/A,,
13954,3064840002.0,0,South Side Pedestrian Bridge (Belt Parkway Exit 4 & Exit 5),3000000.0,True,MARK_N/A,,
14964,2058512083.0,0,Southeast Corner Moshulu Avenue and Post Road,2000000.0,False,RESEARCH,,
21943,1021780003.0,Jeffrey's Hook Lighthouse,Fort Washington Park (Property No. M-28),1000000.0,True,MARK_N/A,,
32261,1000120028.0,0,Bowling Green Park,1000000.0,True,MARK_N/A,,
34360,3003230036.0,0,2 Strong Place,3000000.0,False,RESEARCH,,
34622,5009550100.0,0,Not determined,5000000.0,False,RESEARCH,,
34770,3010680044.0,0,57 7th Avenue,3000000.0,False,RESEARCH,,
34796,3009480046.0,0,57 7th Avenue,3000000.0,False,RESEARCH,,
